Month/Year,CO2 Emission
Mar/2009,158.401
Apr/2009,155.674
May/2009,156.92
Jun/2009,157.241
Jul/2009,160.418
Aug/2009,162.311
Sep/2009,150.389
Oct/2009,158.031
Nov/2009,150.458
Dec/2009,158.361
Jan/2010,150.904
Feb/2010,137.772
Mar/2010,158.173
Apr/2010,157.455
May/2010,161.833
Jun/2010,159.503
Jul/2010,165.279
Aug/2010,165.181
Sep/2010,158.126
Oct/2010,160.183
Nov/2010,152.968
Dec/2010,158.596
Jan/2011,151.851
Feb/2011,139.488
Mar/2011,157.837
Apr/2011,153.554
May/2011,158.642
Jun/2011,158.828
Jul/2011,160.186
Aug/2011,161.575
Sep/2011,153.192
Oct/2011,155.55
Nov/2011,149.536
Dec/2011,154.531
Jan/2012,145.566
Feb/2012,142.098
Mar/2012,152.38
Apr/2012,150.602
May/2012,157.033
Jun/2012,155.372
Jul/2012,157.855
Aug/2012,160.749
Sep/2012,147.241
Oct/2012,153.265
Nov/2012,147.265
Dec/2012,146.39
Jan/2013,146.517
Feb/2013,134.243
Mar/2013,153.078
Apr/2013,149.442
May/2013,156.356
Jun/2013,152.814
